"package","version"
"R","3.4.4"
"grDevices","3.4.4"
"graphics","3.4.4"
"utils","3.4.4"
"stats","3.4.4"
"methods","3.4.4"
"tools","3.4.4"
"assertthat","0.2.0"
"crayon","1.3.4"
"bit","1.1-12"
"cli","1.0.0"
"colorspace","1.3-2"
"glue","1.2.0"
"grid","3.4.4"
"magrittr","1.5"
"R.methodsS3","1.7.1"
"Rcpp","0.12.16"
"rlang","0.2.0"
"stringi","1.1.7"
"utf8","1.1.3"
"curl","3.2"
"dichromat","2.0-0"
"digest","0.6.15"
"fastmatch","1.1-0"
"ff","2.2-13"
"jsonlite","1.5"
"labeling","0.3"
"lattice","0.20-35"
"mime","0.5"
"munsell","0.4.3"
"openssl","1.0.1"
"pillar","1.2.1"
"plyr","1.8.4"
"R.oo","1.21.0"
"R6","2.2.2"
"RColorBrewer","1.1-2"
"rJava","0.9-9"
"stringr","1.3.0"
"triebeard","0.3.0"
"viridisLite","0.3.0"
"DBI","0.8"
"ffbase","0.12.3"
"git2r","0.21.0"
"gtable","0.2.0"
"httr","1.3.1"
"lazyeval","0.2.1"
"MASS","7.3-49"
"Matrix","1.2-12"
"memoise","1.1.0"
"R.utils","2.6.0"
"reshape2","1.4.3"
"rstudioapi","0.7"
"scales","0.5.0"
"splines","3.4.4"
"SqlRender","1.5.0"
"tibble","1.4.2"
"urltools","1.7.0"
"whisker","0.3-2"
"withr","2.1.2"
"backports","1.1.2"
"base64enc","0.1-3"
"codetools","0.2-15"
"DatabaseConnector","2.1.0"
"devtools","1.13.5"
"evaluate","0.10.1"
"formatR","1.5"
"ggplot2","2.2.1"
"highr","0.6"
"mailR","0.4.1"
"markdown","0.8"
"RcppParallel","4.4.0"
"RJSONIO","1.3-0"
"snow","0.4-2"
"survival","2.41-3"
"XML","3.98-1.11"
"yaml","2.1.18"
"aws.signature","0.4.1"
"Cyclops","1.2.4"
"FeatureExtraction","2.1.1"
"gridExtra","2.3"
"htmltools","0.3.6"
"knitr","1.20"
"OhdsiRTools","1.5.3"
"pROC","1.11.0"
"rprojroot","1.3-2"
"uuid","0.1-2"
"xml2","1.2.0"
"CohortMethod","2.6.1"
"EmpiricalCalibration","1.3.6"
"MethodEvaluation","0.2.1"
"OhdsiSharing","0.1.3"
"rmarkdown","1.9"
"zip","1.0.0"
"SkeletonCompartiveEffectStudy","0.0.1"
